CLASS,CX,CY,W,H,IMAGE
0,113,112,206,171,2036
0,107,123,181,174,2037
0,110,113,203,183,2039
0,111,109,220,199,2040
0,124,131,180,162,2045
0,112,121,215,145,2051
0,110,112,210,195,2052
0,110,115,156,74,2059
0,108,122,186,158,2063
0,111,113,212,209,2066
0,113,111,212,207,2071
0,112,113,202,149,2073
0,68,116,126,123,2078
0,112,120,211,191,2082
0,112,113,192,177,2089
0,114,121,198,167,2091
0,112,128,168,106,2092
0,110,126,136,71,2097
0,111,136,206,138,2098
0,109,111,209,169,2099
0,113,121,210,178,2107
0,113,111,203,173,2111
0,112,123,165,85,2113
0,115,114,147,213,2117
0,148,111,146,206,2118
0,109,114,215,188,2126
0,111,102,177,127,2128
0,109,112,199,210,2129
0,115,133,184,114,2134
0,101,113,189,183,2140
0,111,126,194,176,2143
0,112,120,151,127,2144
0,110,109,203,218,2147
0,110,120,207,190,2152
0,111,115,192,120,2154
0,109,128,164,80,2155
0,110,126,199,182,2156
0,113,113,204,184,2158
0,109,119,205,179,2159
0,112,112,202,188,2162
0,112,111,220,214,2168
0,110,114,200,148,2174
0,114,113,190,169,2175
0,110,121,205,95,2176
0,115,122,202,171,2178
0,113,114,206,179,2181
0,109,109,181,212,2186
0,112,113,216,196,2189
0,109,108,203,144,2192
0,112,121,169,128,2194
0,111,154,178,96,2195
0,114,126,207,162,2201
0,111,111,223,223,2206
0,111,109,210,166,2208
0,153,111,137,158,2219
0,110,126,199,182,2225
0,111,120,217,159,2226
0,109,112,216,189,2227
0,112,113,207,184,2229
0,109,135,159,134,2230
0,114,121,198,178,2233
0,111,125,216,172,2243
0,133,104,103,98,2245
0,113,103,202,206,2247
0,111,112,215,205,2248
0,112,116,172,190,2254
0,100,128,160,115,2257
0,109,126,160,61,2259
0,113,121,177,141,2261
0,104,133,190,164,2262
0,113,110,220,200,2265
0,112,112,202,189,2266
0,109,113,219,204,2267
0,115,109,186,118,2270
0,110,146,208,141,2271
0,108,104,185,111,2272
0,110,111,207,162,2274
0,109,110,195,192,2275
0,112,111,215,166,2276
0,109,131,188,126,2277
0,171,125,100,192,2278
0,111,149,205,106,2282
0,120,112,166,129,2287
0,111,110,222,221,2293
0,111,121,190,187,2298
0,131,118,117,70,2309
0,115,121,162,126,2311
0,110,121,221,182,2312
0,112,68,143,137,2317
0,107,150,164,115,2318
0,107,118,171,81,2331
0,113,123,206,167,2335
0,115,112,199,171,2337
0,102,141,166,97,2338
0,111,110,211,198,2339
0,113,121,214,177,2343
0,112,111,219,197,2345
0,111,115,207,186,2349
